102,addTextToExistingEbookPages,JAVA,MAIN
103,addEnableConversionLibrarySelectionFlagToPublisher,MONGO,MAIN
104,addFileSizeLimitToUnity3d,MONGO_SCRIPT,MAIN
105,addPdfConversionLibraryToPublisher,MONGO_SCRIPT,MAIN
106,removeEbookPublishSettingsToPublisher,MONGO,MAIN
107,hideOldNotificationOfUsersWithMoreThanTwenty,MONGO_SCRIPT,MAIN
108,indexEBookStructureTitle,MONGO,MAIN
109,addEnableDemoPublish,MONGO,MAIN
110,setTrueValuesOfTypeStringToBooleanFalseInStandardsCollection,MONGO,MAIN
111,addEnableLearningObjects,MONGO,MAIN
112,addEnableFeaturesForPublisher,MONGO_SCRIPT,MAIN
113,createTinyKeysCollection,MONGO_SCRIPT,MAIN
114,addEnablePublishToUrlSettings,MONGO_SCRIPT,MAIN
115,addAccountModeProductionToPublisher,MONGO,MAIN
116,addTitleToHotSpots,MONGO_SCRIPT,MAIN
117,addEnableMixedCoursePropertiesForPublisher,MONGO,MAIN
118,removeFormatFieldFromCourse,MONGO_SCRIPT,MAIN
119,addEPubAutoConversionDefaultsPropertiesForPublisher,MONGO,MAIN
120,updatePublishersToChineseLocalization,MONGO_SCRIPT,MAIN
121,updatePublishersToKoreanLocalization,MONGO_SCRIPT,MAIN
122,customizationPackStylesJsonIntegrityFix,JAVA,MAIN
123,enableIndependentAssessment,MONGO,MAIN
124,updatePublishersToArabicLocalization,MONGO_SCRIPT,MAIN
125,addEBooksIdsToCourseFromLesson,JAVA,MAIN
126,updateLastModified,JAVA,MAIN
127,updatePlacementType,MONGO_SCRIPT,MAIN
128,fixLearningPathsIntegrity,JAVA,MAIN
129,fixEbooksIdsTypeInLesson,MONGO_SCRIPT,MAIN
130,addEnableSampleCourse,MONGO,MAIN
131,fixEbooksIdsTypeInLesson,MONGO_SCRIPT,MAIN
132,fixTocItemsSequencesType,JAVA,MAIN
133,fixLessonsStandardsPackageId,JAVA,MAIN
